Location","Project Title","Federal Contribution,"Note"
Lachute,"Program for the renewal of drinking water and wastewater pipes (PRECO)",642565,
Lachute,"Program for the renewal of drinking water and wastewater pipes (PRECO)",621400,
Lachute,"Program for the renewal of drinking water and wastewater pipes (PRECO)",939500,
Lachute,"Program for the renewal of drinking water and wastewater pipes (PRECO)",826500,
Lachute,"Drinking water supply ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Lambton,"Development of the Grand Lac Saint-François Municipal Park in Lambton",610153,
Larouche,"Construction of a Multi-purpose Centre for the Cité des Retraités and the Population of Larouche",1183151,
Larouche,"Construction of a Road and Infrastructure to Refit la Cité des Retraités of Larouche",1233333,
Laurier-Station,"Program for the renewal of drinking water and wastewater pipes (PRECO)",34675,
Laurier-Station,"Water supply and wastewater treatment upgrades",1645572,
Laval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",9342830,
Laval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",423640,
Laval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1794460,
Laval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",515805,
Laval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1289530,
Laval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",464685,
Laval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",673440,
Laval,"Route 148 West of Highway 13",425000,
Laval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",323975,
Laval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",71955,
Laval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",640170,
Laval,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1152965,
Laval,"Biomethanization project in Laval",30550000,
Laval,"Updating Drinking Water Treatment Plants in Laval",46820000,
Laval,"Reconstruction of St Rose Blvd viaduct over Highway 15 ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Laval,"Project addressing combined sewer overflows in Laval",8000000,
Laverlochère,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Le Bic,"Surface Repairs on Highway 20 in Le Bic",500000,
Léry,"Water and sewer systems in Léry",4053200,
Les Bergeronnes,"Repairs to Route 138 in Les Bergeronnes",1000000,
Les Bergeronnes,"Wearing Course on Route 138 in Bergeronnes",650000,
Les Cèdres,"Sewer system ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Les Éboulements,"Repairs to Highway 362",2162500,
Les Escoumins,"Program for the renewal of drinking water and wastewater pipes (PRECO)",156550,
Les Îles-de-la-Madeleine,"Renovation and Expansion of the Maritime Museum",1660000,
Les Îles-de-la-Madeleine,"La Salicorne: Quality and Comfort",412333,
Les Méchins,"Repairs to Route 132 in Les Méchins",675000,
Les Méchins,"Drinking water supply and treatment ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Les-Îles-de-la-Madeleine,"Program for the renewal of drinking water and wastewater pipes (PRECO)",322525,
Lévis,"Program for the renewal of drinking water and wastewater pipes (PRECO)",178450,
Lévis,"Program for the renewal of drinking water and wastewater pipes (PRECO)",311640,
Lévis,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1305960,
Lévis,"Resurfacing Route 132 in Lévis",1125000,
Lévis,"Road Link Between de l'Aréna Street and Industriel Road",2604000,
Lévis,"Highway 20 East - Lévis",5600000,
Lévis,"Building a drinking water distribution system - Boutin neighbourhood, Breakeyville",1331594,
Lévis,"Development of the Lévis Ferry area",6330000,
Lévis,"Lévis Desjardins Water Filtration Facility",10786000,
Longue Rive,"Drinking water supply ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Longue-Rive,"Water and wastewater treatment",4282243,
Longueuil,"Program for the renewal of drinking water and wastewater pipes (PRECO)",681355,
Longueuil,"Highway 112 Resurfacing",1375000,
Longueuil,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1826300,
Longueuil,"Biomethanization project in Longueuil",21539458,
Longueuil,"Rehabilitating elements of the collection system",228008,
Longueuil,"Water and wastewater treatment projects in the metropolitain area",5047866,
Longueuil,"Repairs to Highway 30 West",1250000,
Lorrainville,"Relocation of the Lorrainville Municipal Library",387000,
Lotbinière,"Program for the renewal of drinking water and wastewater pipes (PRECO)",770000,
Lotbinière,"Construction of a multipurpose centre",987686,
Louiseville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",114840,
Louiseville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",756600,
Louiseville,"Improvements to Highway 40 westbound in the Municipality of Louiseville",685000,
Louiseville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",766155,
Louiseville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",66000,
Lourdes-de-Blanc-Sablon,"Paving of municipal roadways",346139,
Lyster,"Repairs to the St-Louis Building",183640,
Macamic,"Highway 111 Improvements",3057500,
Macamic,"Program for the renewal of drinking water and wastewater pipes (PRECO)",76000,
Magdalen Islands,"Rebuilding of water pipes ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Magog,"Program for the renewal of drinking water and wastewater pipes (PRECO)",830720,
Magog,"Replacement of Bridge 9873S on Highway A-10 in Magog",1712500,
Magog,"Highway 10 Resurfacing",2032500,
Magog,"Marais de la Rivière aux Cerises observation and education centre",1172156,
Magog,"Memphrémagog regional sports centre",4054133,
Malartic,"Program for the renewal of drinking water and wastewater pipes (PRECO)",387000,
Malartic,"Development of an industrial park",929721,
Mandeville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",101250,
Maniwaki,"Program for the renewal of drinking water and wastewater pipes (PRECO)",2211455,
Maniwaki,"Repairs to the Maniwaki Airport Runway",1213436,
Maniwaki,"Construction of a multipurpose curling centre in Maniwaki",538100,
Manseau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",386945,
Manseau,"Highway 20 and Highway 218 Bridge Overpass Reconstruction",2265000,
Maria,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Maria,"Refurbishment of drinking water supply lines ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Maria-Chapdelaine,"Program for the renewal of drinking water and wastewater pipes (PRECO)",58200,
Marieville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",453400,
Marieville,"Upgrading of waste water treatment plant",2762500,
Marmora,"Highway 7: Crowe River bridge rehabilitation",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Martinville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",193600,
Mascouche,"Program for the renewal of drinking water and wastewater pipes (PRECO)",603215,
Masonville,"Repairs to various roads in the Owl's Head sector",639812,
Massueville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",92220,
Massueville,"Improvements to Clean Water and Sewer Infrastructure",606000,
Matagami,"Reinforcement of roadway of Highway 109. kms 205 to 222 ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Matane,"Program for the renewal of drinking water and wastewater pipes (PRECO)",122910,
Matane,"P-4 well connections",387354,
Matane,"Rehabilitation of Pumping Station",635556,
Matane,"Renovations to the Alain-Côté Sports Centre",4617359,
Matapédia,"Repairs to Route 132 in Matapédia and Saint-André-de-Restigouche",800000,
Matapédia,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
McMasterville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",489600,
McMasterville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",98875,
McMasterville,"Renovations and improvements to Ensoleillé park",1738178,
Mercier,"Program for the renewal of drinking water and wastewater pipes (PRECO)",434745,
Mercier,"Program for the renewal of drinking water and wastewater pipes (PRECO)",659030,
Mercier,"Program for the renewal of drinking water and wastewater pipes (PRECO)",56875,
Mercier,"Program for the renewal of drinking water and wastewater pipes (PRECO)",95700,
Mercier,"Drinking water ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Métabetchouan ? Lac à la Croix,"Bridge Repairs on St-André Street in the Municipality of Métabétchouan-Lac-à-la-Croix",1680000,
Métabetchouan-Lac-à-la-Croix,"Program for the renewal of drinking water and wastewater pipes (PRECO)",2052235,
Milan,"Municipal Infrastructure Upgrades - Saint-Ambroise Street",309000,
Mirabel,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1378250,
Mirabel,"Rebuilding of southbound Highway 15",11350000,
Mirabel,"Highway 117 Asphalt Repair",1137500,
Mirabel,"Development of a soccer and football field",933333,
Mirabel,"Renovation of pool and cycling path",561234,
Mirabel,"Water treatment in Mirabel",660750,
Mont Saint-Hilaire,"Redevelopment of Ozias-Leduc multisport park",748293,
Mont-Albert,"Repairs to Route 299 in Mont-Albert",1000000,
Mont-Joli,"Construction of Highway 20 rest area",551760,
Mont-Joli,"Drinking water reservoir replacement",518682,
Mont-Royal,"Program for the renewal of drinking water and wastewater pipes (PRECO)",213600,
Mont-Royal,"Program for the renewal of drinking water and wastewater pipes (PRECO)",980645,
Mont-Saint-Hilaire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",451875,
Mont-Saint-Hilaire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",846425,
Mont-Saint-Hilaire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",146100,
Mont-Saint-Hilaire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",227000,
Mont-Saint-Pierre,"Reconstruction of Mont-Saint-Pierre Road",1100000,
Mont-St-Hilaire,"Resurfacing Highway 116 in Mont-St-Hilaire",1656000,
Montcalm,"Asphalt repairs on Highway 327 in the Municipality of Montcalm",700000,
Montcerf-Lytton,"Repairs to Highway 117 in Moncerf-Lytton",1050000,
Montmagny,"Rebuilding Elements of a Bridge on Highway 20",2280000,
Montmagny,"Highway 20 Improvements",1162500,
Montmagny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",35050,
Montmagny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",277590,
Montmagny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",263200,
Montmagny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",402370,
Montmagny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",67645,
Montréal,"Program for the renewal of drinking water and wastewater pipes (PRECO)",3119000,
Montréal,"Program for the renewal of drinking water and wastewater pipes (PRECO)",2156875,
Montréal,"Program for the renewal of drinking water and wastewater pipes (PRECO)",5585290,
Montréal,"Program for the renewal of drinking water and wastewater pipes (PRECO)",7820835,
Montréal,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1208350,
Montréal,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1120500,
Montréal,"Pumping System Repairs",2750000,
Montréal,"Rebuilding of St-Jean-Baptiste Overpass Bridge on Highway 40",6550000,
Montréal,"Rebuilding the Querbes Avenue Bridge",1800000,
Montréal,"Rehabilitation of the Fénélon Pumping Station on Highway 20",3000000,
Montréal,"Relocation of Francophone Community Radio of Montréal (CIBL FM)",1610000,
Montréal,"Renovation and Expansion of the Théâtre d'Aujourd'hui",685833,
Montréal,"Asphalt Resurfacing of Highway 20",2850000,
Montréal,"Building of a Portal for the Entry and Exit of Trucks at the Port of Montreal",5500000,
Montréal,"Château Ramezay Museum Restoration and Maintenance Work",494666,
Montréal,"Extension of Berths at Docks 76 and 77",5100000,
Montréal,"Highway 25 in Montreal",3487500,
Montréal,"IMAGO - Artexte",523445,
Montréal,"IMAGO - RCAAQ",270090,
Montréal,"IMAGO - VOX",831065,
Montréal,"Les Deux Mondes - La Centrale",970000,
Montréal,"Maison Saint-Gabriel Expansion Project",2100000,
Montréal,"Notre-Dame Street - Expansion of Electrical System Capacity",4648500,
Montréal,"Place Curatteau Overpass Bridge",2875000,
Montréal,"Biomethanization project in Montreal",67068916,
Montréal,"Construction of an indoor soccer complex",6340200,
Montréal,"Infrastructure works on major water and wastewater facilities in Montréal",32401827,
Montréal,"Infrastructure works on major water and wastewater facilities in Montréal",39232874,
Montréal,"Saint-Laurent Sports Complex",11668428,
Montréal,"Highway 30 (Montréal)**",704500000,
Montréal,"Outremont Rail Switching Yard Redevelopment",30000000,
Montréal,"Project Addressing Combined Sewer Overflows in Montreal",49300000,
Montréal,"Upgrades to disinfection system at Jean R. Marcotte Wastewater Treatment Facility",63750000,
Montréal,"Montreal Museum of Fine Arts",13000000,
Montréal,"Quartier des Spectacles",40000000,
Montréal,"Structural repairs on Autoroute 720 in the Viger sector ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Montréal,"Improvements to Montréal Metro System",149700000,
Montréal,"Relocation of Les Grands Ballets Canadiens de Montréal",7000000,
Montréal,"Optimization of Port Capacity",43666667,
Montréal-Est,"Program for the renewal of drinking water and wastewater pipes (PRECO)",202000,
Montréal-Ouest,"Program for the renewal of drinking water and wastewater pipes (PRECO)",456660,
Nantes,"Repairs to Highway 161 in Nantes",880000,
Napierville,"Repairs to Industrial Boulevard and construction of a bike path",583774,
New-Richmond,"Program for the renewal of drinking water and wastewater pipes (PRECO)",124950,
New-Richmond,"Program for the renewal of drinking water and wastewater pipes (PRECO)",245000,
New-Richmond,"Water system and sewer infrastructure ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Nominingue,"Program for the renewal of drinking water and wastewater pipes (PRECO)",307875,
Nominingue,"Asphalt repairs on Highway 321 in the Municipality of Nominingue",675000,
North Hatley,"Program for the renewal of drinking water and wastewater pipes (PRECO)",276625,
North Hatley,"Program for the renewal of drinking water and wastewater pipes (PRECO)",330360,
North Hatley,"Upgrading of drinking water production and supply infrastructure ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Notre-Dame-de-Grâce,"Repairs to Highway 20 East - Notre-Dame-de-Grâce",1862500,
Notre-Dame-de-la-Paix,"Program for the renewal of drinking water and wastewater pipes (PRECO)",105000,
Notre-Dame-de-la-Salette,"Program for the renewal of drinking water and wastewater pipes (PRECO)",680775,
Notre-Dame-de-Lourdes,"Program for the renewal of drinking water and wastewater pipes (PRECO)",280875,
Notre-Dame-de-Pontmain,"Program for the renewal of drinking water and wastewater pipes (PRECO)",752500,
Notre-Dame-de-Pontmain,"Repairs to Route 309",1000000,
Notre-Dame-des-Neiges,"Program for the renewal of drinking water and wastewater pipes (PRECO)",70000,
Notre-Dame-des-Neiges,"Program for the renewal of drinking water and wastewater pipes (PRECO)",92750,
Notre-Dame-des-Neiges,"Program for the renewal of drinking water and wastewater pipes (PRECO)",249375,
Notre-Dame-des-Prairies,"Program for the renewal of drinking water and wastewater pipes (PRECO)",177000,
Notre-Dame-des-Prairies,"Program for the renewal of drinking water and wastewater pipes (PRECO)",209025,
Notre-Dame-des-Prairies,"Program for the renewal of drinking water and wastewater pipes (PRECO)",259800,
Notre-Dame-des-Prairies,"Program for the renewal of drinking water and wastewater pipes (PRECO)",201600,
Notre-Dame-des-Prairies,"Program for the renewal of drinking water and wastewater pipes (PRECO)",137500,
Notre-Dame-des-Prairies,"Program for the renewal of drinking water and wastewater pipes (PRECO)",702450,
Notre-Dame-des-Prairies,"Drinking Water Pipelines in Notre-Dame-des-Prairies",31075,
Notre-Dame-du-Bon-Conseil,"Highway 20 Eastbound Resurfacing",1552500,
Notre-Dame-du-Mont-Carmel,"Program for the renewal of drinking water and wastewater pipes (PRECO)",453750,
Notre-Dame-du-Mont-Carmel,"Program for the renewal of drinking water and wastewater pipes (PRECO)",448125,
Notre-Dame-du-Rosaire,"Water and wastewater treatment",3242635,
Nouvelle,"Construction of roadway and water supply system",534398,
Oka,"Program for the renewal of drinking water and wastewater pipes (PRECO)",449150,
Oka,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1091690,
Oka,"Resurfacing Route 344 in Oka",865000,
Oka,"Drinking water production plant in Oka",1150000,
Orford Lake,"Renovation and Upgrade of the Orford Arts Centre Facilities",2715000,
Ormstown,"Program for the renewal of drinking water and wastewater pipes (PRECO)",380525,
Otterburn Park,"Increasing drinking water reserves, updating a water filtration plant and securing the water distribution network",5451334,
Papineauville,"Water Supply System Improvements",300000,
Papineauville,"Drinking water systems ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Percé,"Equipment Upgrade in the Theatre of La Vieille Usine in l'Anse-à-Beaufils",412500,
Percé,"Pavement Repairs on Highway 132",1050000,
Percé,"Wastewater Treatment (Val d'Espoir Area)",1146887,
Péribonka,"Construction of a filtration plant ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Péribonka,"Repairs to Des Pionniers Road",1057500,
Piedmont,"Repairs to Highway 15",1330000,
Pierreville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",284690,
Pierreville,"Pierreville Community Centre",17566,
Plaisance,"Principale Street Water and Sewer Improvements",265000,
Plessisville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",26100,
Plessisville,"Watermain and Sewer Repairs - Saint-Calixte Street",1596666,
Plessisville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",114100,
Plessisville,"Blower System Replacement",200602,
Plessisville,"Extension of Méthot Avenue",348944,
Plessiville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",476410,
Pohénégamook,"Repairs to Tom-Fox Road in the Municipality of Pohénégamook",597500,
Pohénégamook,"Installation of Water and Sewer Infrastructure",726540,
Pointe-Claire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",369150,
Pointe-Claire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",588075,
Pointe-Claire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",783280,
Pointe-Claire,"Program for the renewal of drinking water and wastewater pipes (PRECO)",161525,
Pointe-Claire,"Development of multisport artificial and natural turf in Terra Cotta Park",1637058,
Pointe-Claire,"Widening of Holiday Avenue",685139,
Pointe-des-Cascades,"Program for the renewal of drinking water and wastewater pipes (PRECO)",49975,
Pointe-Lebel,"Drinking water distribution and sewage treatment",1242017,
Pointe-Lebel,"Water supply upgrades",251135,
Pont-Rouge,"Program for the renewal of drinking water and wastewater pipes (PRECO)",367825,
Port-Cartier,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1345100,
Port-Cartier,"Wearing Course on Route 138 in the Municipality of Port-Cartier",2000000,
Port-Cartier,"Pavement Reconstruction on route 138 in Port-Cartier",900000,
Port-Cartier et Baie-Trinité,"Pavement Reconstruction on Route 138 in Port-Cartier and Baie-Trinité",960000,
Portage du Fort,"Drinking water upgrade ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Portage-du-Fort,"Resurfacing of Highway 301 in Portage-du-Fort",787500,
Portneuf,"Rehabilitation of 1st and 2nd avenues",1548517,
Prévost,"Program for the renewal of drinking water and wastewater pipes (PRECO)",51275,
Prévost,"Program for the renewal of drinking water and wastewater pipes (PRECO)",351750,
Prévost,"Program for the renewal of drinking water and wastewater pipes (PRECO)",341000,
Prévost,"Program for the renewal of drinking water and wastewater pipes (PRECO)",37500,
Prévost,"Program for the renewal of drinking water and wastewater pipes (PRECO)",151600,
Prévost,"Renewal of Drinking Water Infrastructure",286057,
Prévost,"Wastewater Treatment Plant Upgrades",234333,
Princeville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",211455,
Princeville,"Program for the renewal of drinking water and wastewater pipes (PRECO)",218900,
Princeville,"Pierre Prince Community Centre",126252,
Puvirnituq,"Puvirnituq airport ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",284900,
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",902365,
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1687830,
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1370470,
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",10514430,
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1902595,
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1572115,
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1135410,
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1447270,
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",2291450,
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1730570,
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",208600,
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",754015,
Québec,"Program for the renewal of drinking water and wastewater pipes (PRECO)",306940,
Quebec,"Renovating and Upgrading the Alyne-Lebel Centre",833300,
Quebec,"Development of the Beauport Area",1887877,
Québec,"Expansion of the Quebec Exhibition Centre",10183333,
Québec,"Construction of a museum at the Augustinian monastery",15000000,
Québec,"Relocation of the Sainte Foy water intake ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Québec,"Lebourgneuf community, sports and culture complex",2666666,
Québec City,"Québec and Sainte-Foy Water System Interconnection",18333333,
Québec City,"Sewer Pipe Replacements",2433333,
Quebec City,"Expansion of Service d'entraide du Patro Roc-Amadour",1406357,
Québec City,"Expansion of the Monique-Corriveau Library",7060000,
Québec City,"Highway 40 Resurfacing",2725000,
Québec City,"Improvements and Expansion of l'École de Cirque de Québec",1956946,
Québec City,"Lepire Street Extension",2000000,
Quebec City,"Biomethanization project in Quebec City",16577504,
Quebec City,"Construction of a wastewater reservoir",5982513,
Québec City,"Expansion and renovation of the Pavillon de l'Education Physique et des Sports (PEPS), University of Laval",37500000,
Québec City,"Musée national des beaux-arts, Quebec City",33700000,
Québec City,"440-740 interchange. Charest/Robert-Bourassa ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Québec City,"Construction of the Gaétan-Boucher Ice Oval",32500000,
Quebec City,"Port of Quebec Improvements",60219333,
Racine,"Program for the renewal of drinking water and wastewater pipes (PRECO)",388800,
Ragueneau,"Program for the renewal of drinking water and wastewater pipes (PRECO)",7500,
Ragueneau,"Pavement Reconstruction on Route 138 in Ragueneau (Phase 1)",525000,
Ragueneau,"Pavement Reconstruction on Route 138 in Ragueneau and Chute-aux-Outardes (Phase 2)",600000,
Rapide-Danseur,"Highway 388 Improvements",1893500,
Rawdon,"Program for the renewal of drinking water and wastewater pipes (PRECO)",562500,
Régie interm. d'aqueduc du Bas-Richelieu,"Program for the renewal of drinking water and wastewater pipes (PRECO)",990500,
Régie interm. d'aqueduc du Bas-Richelieu,"Program for the renewal of drinking water and wastewater pipes (PRECO)",411250,
Régie interm. d'aqueduc du Bas-Richelieu,"Program for the renewal of drinking water and wastewater pipes (PRECO)",288750,
Régie interm. d'aqueduc du Bas-Richelieu,"Program for the renewal of drinking water and wastewater pipes (PRECO)",714875,
Régie interm. d'aqueduc du Bas-Richelieu ,"Program for the renewal of drinking water and wastewater pipes (PRECO)",1579000,
Régie Interm. d'aqueduc du Bas-Richelieu ,"Program for the renewal of drinking water and wastewater pipes (PRECO)",739000,
Régie interm. d'aqueduc du Bas-Richelieu ,"Program for the renewal of drinking water and wastewater pipes (PRECO)",282875,
Régie interm. d'aqueduc du Bas-Richelieu ,"Program for the renewal of drinking water and wastewater pipes (PRECO)",782700,
Régie interm. d'aqueduc du Bas-Richelieu ,"Program for the renewal of drinking water and wastewater pipes (PRECO)",703150,
Régie interm. D'aqueduc du Bas-Richelieu ,"Program for the renewal of drinking water and wastewater pipes (PRECO)",915000,
Régie interm. d'aqueduc du Bas-Richelieu ,"Program for the renewal of drinking water and wastewater pipes (PRECO)",249375,
Régie interm. d'aqueduc du Bas-Richelieu ,"Program for the renewal of drinking water and wastewater pipes (PRECO)",910000,
Régie interm. d'aqueduc du Bas-Richelieu ,"Program for the renewal of drinking water and wastewater pipes (PRECO)",155925,
Régie interm. d'aqueduc du Bas-Richelieu ,"Program for the renewal of drinking water and wastewater pipes (PRECO)",141400,
Régie interm. d'aqueduc du Bas-Richelieu ,"Program for the renewal of drinking water and wastewater pipes (PRECO)",168000,
Régie interm. d'aqueduc du Bas-Richelieu ,"Program for the renewal of drinking water and wastewater pipes (PRECO)",289275,
Régie intermunicipale d'aqueduc du Bas-Richelieu,"Program for the renewal of drinking water and wastewater pipes (PRECO)",481250,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",122250,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",64875,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",209400,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",272550,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",151200,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",287550,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",246575,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",93000,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",155375,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",331250,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",358600,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",771395,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",37310,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",220320,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",454150,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",194880,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",382520,
Repentigny,"Program for the renewal of drinking water and wastewater pipes (PRECO)",84175,
Réserve faunique Ashuapmushuan,"Repairs to Route 167",800000,
Réservoir-Dozois,"Highway 117 Resurfacing",3600000,
Richelieu,"Program for the renewal of drinking water and wastewater pipes (PRECO)",371005,
Richelieu,"Water system and sewers ",2651515.15,"$175 million has been committed to date to the province of Quebec for initiatives funded under Provincial-Territorial Base Fund."
Richmond,"Water Mains and Sewers on Principale Street North",924000,
Rimouski,"Desjardins-Télus Concert Hall in Rimouski",153300,
Rivière-à-Claude,"Repositioning of a Rockfall-prone Stretch of Highway 132",1000000,
Rivière-à-Pierre,"Program for the renewal of drinking water and wastewater pipes (PRECO)",391750,
Rivière-aux-Outardes,"Resurfacing of Highway 389",1525000,
Rivière-aux-Outardes,"Road improvements on Highway 389",1050000,
Rivière-Bleue,"Program for the renewal of drinking water and wastewater pipes (PRECO)",544950,
Rivière-du-Loup,"Program for the renewal of drinking water and wastewater pipes (PRECO)",321790,
Rivière-du-Loup,"Program for the renewal of drinking water and wastewater pipes (PRECO)",239100,
Rivière-du-Loup,"Program for the renewal of drinking water and wastewater pipes (PRECO)",39900,
Rivière-du-Loup,"Program for the renewal of drinking water and wastewater pipes (PRECO)",85500,
Rivière-du-Loup,"Program for the renewal of drinking water and wastewater pipes (PRECO)",70040,
Rivière-du-Loup,"Program for the renewal of drinking water and wastewater pipes (PRECO)",250860,
Rivière-du-Loup,"Program for the renewal of drinking water and wastewater pipes (PRECO)",377010,
Rivière-du-Loup,"Program for the renewal of drinking water and wastewater pipes (PRECO)",36400,
Rivière-du-Loup,"Program for the renewal of drinking water and wastewater pipes (PRECO)",420840,
Rivière-du-Loup,"Program for the renewal of drinking water and wastewater pipes (PRECO)",102460,
Rivière-du-Loup,"Construction of the Rivière-du-Loup Music School",1200000,
